filename,sha256,size_bytes
HISTORICAL_RC2_REJECTION_DECISION.json,6da8c1fce80a8a792e814fe66854a2293a1013f4b482f4e38caedb61e4d66832,805
HISTORICAL_RC2_REJECTION_DECISION.md,3ab550629d0c168d4504432dc220fadb2538da6dec69c1d5061f232c9ed93f2a,1580
RC1_EXACT_ALGORITHM_SEMANTICS.md,fab9b9a325a4986074ede9db074ad1b9a5aaacfa7f33473a04d5bd25f145bba4,4437
RC1_FINAL_CLAIM_EVIDENCE_MAP.csv,fb42f3bb39625989a7ee73c6a8048dcb7a451c333db077184b362b7b01901051,476
RC1_FINAL_PARAMETER_TABLE.csv,10cd28e5499cad7a6224b59503955278ede167b3b734672bd27a21810bfcf207,2943
RC1_FINAL_SELECTION_DECISION.json,a6ad3a245a7b610d46b660e84ce7901ca0c5358ab5f1c31417d682283b5eb707,1106
RC1_FINAL_SELECTION_DECISION.md,44bd4c794aed8a40bef4e7382f14bda8d1f6e63665a7675a03264387302df181,657
RC1_MANUSCRIPT_LANGUAGE_RULES.csv,a45fc5d8114a3e17543732d1e25dfda8b608145e1346800c347d2c99ed904826,748
RC1_MANUSCRIPT_REWRITE_CHECKLIST.md,03c9dc2e99197403fa25bd546580b8c12212f247dea52f2133d6fca1f7f5ac22,746
RC1_PAPER_CODE_CONTRACT.json,d8ecfb4b6c90e8b01ed99e9c43e9657509cf2cd9c440acf228aa4c9743c8f287,2811
RC1_PAPER_CODE_FIELD_MAP.csv,85e5bb0160b12064fd9a1f621c0f4771b5eb1d9f71f601006540047cc316a95e,835
